HandID,Board,Winner,WinType,Pot,h_Hole,r_Hole,h_Bucket,r_Bucket,h_Action,r_Action,h_Delta,r_Delta
7090,2♣K♦2♠T♥T♠,r_bot,showdown,10,9♣6♣,K♠A♥,96s,AKo,fold,call,973,-990
7091,K♦Q♦4♦K♠9♦,h_bot,showdown,70,2♥5♦,2♦3♥,52o,32o,raise,call,983,-1000
7092,2♦T♣7♠9♠J♣,r_bot,showdown,110,5♥6♥,6♦A♥,65s,A6o,raise,fold,873,-890
7093,3♦4♣Q♠J♦T♦,r_bot,showdown,120,K♣6♥,J♣K♦,K6o,KJo,fold,call,863,-880
7094,5♣9♣5♠2♣3♣,h_bot,showdown,230,8♣Q♠,K♥A♦,Q8o,AKo,fold,raise,983,-1000
7095,T♠9♥J♥6♥6♦,r_bot,showdown,10,Q♦7♣,9♦6♣,Q7o,96o,fold,call,973,-990
7096,4♣2♠A♦T♦4♠,r_bot,showdown,180,5♥8♥,7♦Q♠,85s,Q7o,raise,fold,803,-820
7097,7♠8♠8♣K♣3♠,r_bot,showdown,180,T♣2♦,J♣A♥,T2o,AJo,fold,call,793,-810
7098,9♣5♦5♥A♣K♥,h_bot|r_bot,split,360,3♠4♣,2♦8♦,43o,82s,fold,raise,803,-820
7099,T♠K♠Q♠6♠A♦,r_bot,showdown,420,3♣K♦,2♠J♦,K3o,J2o,raise,call,563,-580
7100,7♦J♣A♥9♠5♠,r_bot,showdown,480,Q♥3♣,3♠K♦,Q3o,K3o,fold,call,323,-340
7101,2♥K♣K♠A♦4♣,r_bot,showdown,250,5♦6♥,J♠7♦,65o,J7o,fold,call,313,-330
7102,T♦2♠5♠8♠5♥,h_bot,showdown,480,7♦7♠,Q♣A♣,77,AQs,fold,call,553,-570
7103,J♣9♦5♣2♦6♦,h_bot,showdown,250,A♦6♣,2♥7♠,A6o,72o,fold,call,793,-810
7104,Q♦T♥A♦3♠J♠,h_bot,showdown,250,5♣A♠,5♥6♠,A5o,65o,fold,fold,803,-820
7105,6♠K♣3♠8♥2♠,r_bot,showdown,190,6♥9♥,8♦T♠,96s,T8o,fold,call,793,-810
7106,8♣T♥6♣3♦K♣,r_bot,showdown,300,Q♦2♦,3♥5♥,Q2s,53s,raise,fold,503,-520
7107,Q♠T♦4♣7♣4♥,r_bot,showdown,300,2♥K♦,Q♦3♣,K2o,Q3o,fold,call,493,-510
